HCPMMP1_label_1	region1	region2
p9-46v	dorsolateral-prefrontal	frontal
8C	dorsolateral-prefrontal	frontal
8Av	dorsolateral-prefrontal	frontal
IFSp	inferior frontal	frontal
44	inferior frontal	frontal
6r	premotor	frontal
6v	premotor	frontal
55b	premotor	frontal
4	sensorimotor	rolandic
3a	sensorimotor	rolandic
3b	sensorimotor	rolandic
1	sensorimotor	rolandic
43	posterior opercular	parietal
OP4	posterior opercular	parietal
PFop	inferior-parietal	parietal
PF	inferior-parietal	parietal
PSL	temporo-parietal-occipital	parietal
STV	temporo-parietal-occipital	parietal
A5	auditory-associative	temporal
A4	auditory-associative	temporal